,name,name_description,name_category,name_gender
0,Żaklina,"Żaklina – fonetycznie zapisane spolszczenie francuskiego imienia Jacqueline, które jest żeńskim odpowiednikiem imienia Jakub. Jest również inny żeński odpowiednik tego imienia – Jakubina. Niektórzy błędnie uważają to imię za żeński odpowiednik imienia Jacek (mylnie interpretując francuskie imię Jacques).
",latin and romanic,female
1,Parys,"Parys (gr. Πάρις – Paris) – imię męskie, prawdopodobnie pochodzenia przedhelleńskiego, o znaczeniu nieznanym. W mitologii greckiej nosił je Parys, ukochany Heleny Trojańskiej. W Kościele katolickim jego patronem jest św. Parys, biskup Teano.
",greek,male
2,Parteniusz,"Parteniusz — imię męskie pochodzenia greckiego, od gr. przymiotnika parthénios, oznaczającego ""panieński, dziewiczy, czysty, niewinny"". 
",greek,male
3,Sambor,"Sambor – słowiańskie imię męskie, złożone z członów Sam- (""samotny"") oraz -bor (""walczyć, zmagać się""). Mogło oznaczać ""walczącego samotnie"".
",slavic,male
4,Samboja,"Samboja – staropolskie imię żeńskie, złożone z członu Sam- (""samotna, jedyna"") oraz członu -boj-a (""bicie, walka""). Oznacza ""tę, która walczy samotnie"".
",slavic,female
5,Samanta,"Samanta – imię żeńskie nieznanego pochodzenia. Ma ono raczej krótką historię. Pojedyncze wypadki występowania tego imienia odkryto w kronikach rodzin z Nowej Anglii z XVIII wieku. Nie używano go praktycznie do lat siedemdziesiątych XX wieku, kiedy w telewizji pojawił się serial ""Bewitched"", w Polsce nadawany pod tytułem ""Ożeniłem się z czarownicą"". Jego tytułowa bohaterka, sympatyczna czarownica, nosiła właśnie imię Samantha. W dzisiejszych czasach imię Samanta jest bardziej powszechne. 
",other,female
6,Salwin,"Salwin – imię męskie pochodzenia hebrajskiego oznaczające człowieka pełnego pokoju, spokojnego.
",hebrew,male
7,Salwator,"Salwator – imię męskie pochodzenia łacińskiego powstałe na bazie tytułu Jowisza Salvatora  oznaczającego 'zbawcę, zbawiciela'. Na gruncie chrześcijańskim Salvator odnosi się zawsze do Jezusa Chrystusa[1].
",latin and romanic,male
8,Salwina,"Salwina – żeńska forma imienia Salwin (lub Salwiusz).
",hebrew,female
9,Salustia,"Salustia – imię żeńskie pochodzenia łacińskiego, oznaczająca ""tę, która jest zdrowa"". Patronką tego imienia jest św. Salustia, wspominana razem ze swym małżonkiem, św. Cerealisem[1].
",latin and romanic,female
